"Lat","Lon","Elev_masl","Basin","Type","River_km","FieldName","Date","Filtration","pH","EC_uS_cm","Temp_C","Turbidity_FNU","DO_per","DO_mg_L","Element","Concentration_ppm"
67.776,-159.3493,564,"Salmon","river",0,"Salmon_Headwaters","8/14/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Na",1.3746
67.776,-159.3493,564,"Salmon","river",0,"Salmon_Headwaters","8/14/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Mg",13.0825
67.776,-159.3493,564,"Salmon","river",0,"Salmon_Headwaters","8/14/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"K",0.2593
67.776,-159.3493,564,"Salmon","river",0,"Salmon_Headwaters","8/14/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.1107
67.6397,-159.8054,158,"Salmon","trib",39.25,"Sheep_Crk","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Na",1.1336
67.6397,-159.8054,158,"Salmon","trib",39.25,"Sheep_Crk","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Mg",25.2629
67.6397,-159.8054,158,"Salmon","trib",39.25,"Sheep_Crk","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"K",0.494
67.6397,-159.8054,158,"Salmon","trib",39.25,"Sheep_Crk","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.1567
67.72531,-159.80045,201,"Salmon","trib",27.13,"Irontok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Na",1.8628
67.72531,-159.80045,201,"Salmon","trib",27.13,"Irontok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Mg",109.364
67.72531,-159.80045,201,"Salmon","trib",27.13,"Irontok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"K",0.4774
67.72531,-159.80045,201,"Salmon","trib",27.13,"Irontok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",9.3645
67.7771,-159.543,370,"Salmon","river",9.6,"Upper_Salmon","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Na",0.5143
67.7771,-159.543,370,"Salmon","river",9.6,"Upper_Salmon","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Mg",15.1719
67.7771,-159.543,370,"Salmon","river",9.6,"Upper_Salmon","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"K",0.4901
67.7771,-159.543,370,"Salmon","river",9.6,"Upper_Salmon","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.0242
67.7813,-159.7253,282,"Salmon","trib",18.07,"Kanaktok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Na",1.4868
67.7813,-159.7253,282,"Salmon","trib",18.07,"Kanaktok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Mg",76.7332
67.7813,-159.7253,282,"Salmon","trib",18.07,"Kanaktok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"K",0.3954
67.7813,-159.7253,282,"Salmon","trib",18.07,"Kanaktok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",4.351
67.4944,-159.7942,117,"Salmon","river",58.14,"Salmon_MainStem","8/16/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Na",0.9979
67.4944,-159.7942,117,"Salmon","river",58.14,"Salmon_MainStem","8/16/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Mg",39.0986
67.4944,-159.7942,117,"Salmon","river",58.14,"Salmon_MainStem","8/16/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"K",0.3852
67.4944,-159.7942,117,"Salmon","river",58.14,"Salmon_MainStem","8/16/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",1.5688
