"Lat","Lon","Elev_masl","Basin","Type","River_km","FieldName","Date","Filtration","pH","EC_uS_cm","Temp_C","Turbidity_FNU","DO_per","DO_mg_L","Element","Concentration_ppm"
67.776,-159.3493,564,"Salmon","river",0,"Salmon_Headwaters","8/14/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.1107
67.6397,-159.8054,158,"Salmon","trib",39.25,"Sheep_Crk","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.1567
67.72531,-159.80045,201,"Salmon","trib",27.13,"Irontok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",9.3645
67.7771,-159.543,370,"Salmon","river",9.6,"Upper_Salmon","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.0242
67.7813,-159.7253,282,"Salmon","trib",18.07,"Kanaktok","8/15/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",4.351
67.4944,-159.7942,117,"Salmon","river",58.14,"Salmon_MainStem","8/16/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",1.5688
67.6397,-159.8086,148,"Salmon","trib",39.25,"Anaktok","8/16/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",2.7305
67.4296,-159.8047,72,"Salmon","trib",67.75,"Nikok","8/19/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.1537
67.1852,-159.5182,12,"Salmon","river",111.28,"Salmon_MainStem","8/20/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.8103
67.244,-159.6748,25,"Salmon","trib",97.59,"Kitlik","8/20/2022","Unfiltered",NA,NA,NA,NA,NA,NA,"Fe",0.1888
67.413028,-160.357362,413,"Tukpahlearik Creek","seep",NA,"Big_Burn","7/15/2023","Filtered",3.61,4059,9.9,13.15,90.6,10.07,"Fe",172.4303
67.413028,-160.357362,413,"Tukpahlearik Creek","seep",NA,"Big_Burn","7/15/2023","Unfiltered",3.61,4059,9.9,13.15,90.6,10.07,"Fe",193.743
