Lat,Lon,Elev_masl,Basin,Type,River_km,FieldName,Date,Filtration,pH,EC_uS_cm,Temp_C,Turbidity_FNU,DO_per,DO_mg_L,Element,Concentration_ppm
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Na,1.3746
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Mg,13.0825
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Al,0.0722
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,K,0.2593
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Ca,49.2332
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,V,0.0003
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Cr,0.0003
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Mn,0.0064
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Fe,0.1107
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Co,0.0006
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Ni,0.0007
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Cu,0.0008
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Zn,0.0022
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,As,0.0003
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Se,0.0001
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Sr,0.0735
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Mo,0.0001
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Cd,0
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Ba,0.0303
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Pb,0.0001
67.776,-159.3493,564,Salmon,river,0,Salmon_Headwaters,8/14/2022,Unfiltered,NA,NA,NA,NA,NA,NA,U,0.0009
67.6397,-159.8054,158,Salmon,trib,39.25,Sheep_Crk,8/15/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Na,1.1336
67.6397,-159.8054,158,Salmon,trib,39.25,Sheep_Crk,8/15/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Mg,25.2629
67.6397,-159.8054,158,Salmon,trib,39.25,Sheep_Crk,8/15/2022,Unfiltered,NA,NA,NA,NA,NA,NA,Al,0.0834
67.6397,-159.8054,158,Salmon,trib,39.25,Sheep_Crk,8/15/2022,Unfiltered,NA,NA,NA,NA,NA,NA,K,0.494
